,Steer_Angle,Acc_Body_X,Acc_Body_Y,Acc_Body_Z,Tire_Rate_FL,Tire_Rate_FR,Tire_Rate_RL,Tire_Rate_RR,Rate_Body_X,Rate_Body_Y,Rate_Body_Z,Engine_Torque,Gear_Transmission,Break_Pressure,RCS1,RCS2,Rain,Temp,INS_Vel_Hor_X_POI1,INS_Vel_Hor_Y_POI1,INS_Vel_Hor_Z_POI1,GNSS_Lat_Abs,GNSS_Long_Abs,GNSS_Height,INS_Height_POI1,INS_Lat_Abs_POI1,INS_Long_Abs_POI1,INS_Roll,INS_Pitch,INS_Yaw,GNSS_Vel_Frame_X,GNSS_Vel_Frame_Y,GNSS_Vel_Frame_Z,INS_Vel_Body_X,INS_Vel_Body_Y,INS_Vel_Body_Z
0 days 00:00:05.800000,0.0027123359997209178,-2.3269320000000002,1.181124,10.010124000000001,39.93501283697047,39.93501283697047,39.93501283697047,39.93501283697047,-0.03944444109507185,0.05078908123303499,-0.0013962634015954637,-23.0,3.79,109.95,2,0,100.0,4,0.09,13.785,-0.03,52.6482719,9.745529399999999,34.58,33.61,52.648263099999994,9.7455296,0.02234021442552742,-0.02181661564992912,4.247956866428999,-6.22,-12.44,0.11,13.781065,0.09736509,0.32861805
0 days 00:00:05.810000,0.0028302636518826967,-5.419044,0.49050000000000005,9.488232000000002,43.271287976037655,43.271287976037655,43.271287976037655,43.271287976037655,-0.038397243543875255,-0.006108652381980153,0.007504915783575617,-21.0,3.79,110.4,2,0,100.0,4,0.09,13.73,-0.03,52.6482719,9.745529399999999,34.58,33.62,52.648261999999995,9.7455287,0.02199114857512855,-0.02181661564992912,4.2481313993541985,-6.22,-12.44,0.11,13.726078,0.09722399,0.32745248
0 days 00:00:05.820000,0.0030661189562062544,-4.13982,0.066708,9.484308,45.08317287120239,45.08317287120239,45.08317287120239,45.08317287120239,-0.009250245035569947,0.0041887902047863905,0.012391837689159739,-21.0,3.79,104.85,2,0,100.0,4,0.09,13.695,-0.025,52.6482719,9.745529399999999,34.58,33.62,52.6482609,9.7455278,0.02181661564992912,-0.02181661564992912,4.2481313993541985,-6.22,-12.44,0.11,13.691195,0.09704113,0.3217085
0 days 00:00:05.830000,0.0030661189562062544,-3.900456,0.223668,9.649116000000001,45.25700684638425,45.25700684638425,45.25700684638425,45.25700684638425,-0.003316125578789226,0.05113814708343386,0.005585053606381855,-31.0,3.79,99.29999999999998,2,0,100.0,4,0.09,13.655000000000001,-0.025,52.648266199999995,9.7455249,34.57,33.62,52.6482598,9.7455269,0.02181661564992912,-0.02234021442552742,4.248305932279397,-6.140000000000001,-12.32,0.06,13.651034,0.09717802,0.3279821
0 days 00:00:05.840000,0.0028302636518826967,-5.776128,-0.459108,9.001656,45.25700684638425,45.25700684638425,45.25700684638425,45.25700684638425,-0.014137166941154071,0.006283185307179587,-0.0015707963267948967,-33.0,3.79,98.69999999999999,2,0,100.0,4,0.08,13.6,-0.02,52.648266199999995,9.7455249,34.57,33.62,52.6482587,9.745526,0.021642082724729686,-0.02234021442552742,4.248305932279397,-6.140000000000001,-12.32,0.06,13.596161,0.08698835,0.3219896
0 days 00:00:05.850000,0.0027123359997209178,-3.5629920000000004,-0.129492,9.39798,44.26749037227214,44.26749037227214,44.26749037227214,44.26749037227214,-0.009250245035569947,-0.0291469985083053,-0.0036651914291880917,-31.0,3.79,98.1,2,0,100.0,4,0.08,13.565,-0.015,52.648266199999995,9.7455249,34.57,33.62,52.6482576,9.7455251,0.021642082724729686,-0.022165681500327987,4.2481313993541985,-6.140000000000001,-12.32,0.06,13.561335,0.086812034,0.31384403
0 days 00:00:05.860000,0.0029481913040444755,-1.5656760000000003,0.36493200000000003,10.630116000000001,43.11082584510056,43.11082584510056,43.11082584510056,43.11082584510056,0.0054105206811824215,0.028623399732707003,-0.0010471975511965976,-31.0,3.79,97.95,2,0,100.0,4,0.08,13.555,-0.025,52.648266199999995,9.7455249,34.57,33.62,52.648256499999995,9.7455242,0.021642082724729686,-0.02234021442552742,4.2481313993541985,-6.140000000000001,-12.32,0.06,13.55106,0.08707477,0.32598218
0 days 00:00:05.870000,0.0030661189562062544,-4.559688,0.153036,10.143540000000002,43.11082584510056,43.11082584510056,43.11082584510056,43.11082584510056,0.01780235837034216,0.023212879051524585,0.0020943951023931952,-33.0,3.79,97.8,2,0,100.0,4,0.08,13.51,-0.03,52.648266199999995,9.7455249,34.57,33.62,52.6482554,9.7455233,0.02181661564992912,-0.022689280275926284,4.2481313993541985,-6.140000000000001,-12.32,0.06,13.505842,0.08732163,0.33467287
0 days 00:00:05.880000,0.0030661189562062544,-3.8690640000000003,-0.49050000000000005,8.413056000000001,43.08408215661104,43.08408215661104,43.08408215661104,43.08408215661104,0.014137166941154071,-0.024783675378319478,-0.00017453292519943296,-35.0,3.79,98.25,2,0,100.0,4,0.075,13.475,-0.015,52.648261,9.745520299999999,34.53,33.62,52.6482543,9.745522399999999,0.02199114857512855,-0.02234021442552742,4.2481313993541985,-6.055,-12.16,-0.03,13.471304,0.08193063,0.31427997
0 days 00:00:05.890000,0.0030661189562062544,-0.56898,0.21189600000000003,9.547092000000001,43.10413992297818,43.10413992297818,43.10413992297818,43.10413992297818,0.010471975511965976,0.034557519189487726,-0.0006981317007977319,-37.0,3.79,98.69999999999999,2,0,100.0,4,0.075,13.47,-0.01,52.648261,9.745520299999999,34.53,33.62,52.6482532,9.7455216,0.022165681500327987,-0.022689280275926284,4.2481313993541985,-6.055,-12.16,-0.03,13.466307,0.08197641,0.31385604
0 days 00:00:05.900000,0.0030661189562062544,-2.68794,-0.21189600000000003,9.170388,41.86724433033804,41.86724433033804,41.86724433033804,41.86724433033804,-0.007853981633974483,0.02722713633111154,0.0005235987755982988,-39.0,3.79,100.8,2,0,100.0,4,0.07,13.445,-0.005,52.648261,9.745520299999999,34.53,33.62,52.648252199999995,9.7455207,0.02199114857512855,-0.02303834612632515,4.2481313993541985,-6.055,-12.16,-0.03,13.441317,0.07690361,0.31310645
0 days 00:00:05.910000,0.0030661189562062544,-4.35564,0.875052,8.479764000000001,40.944587077449725,40.944587077449725,40.944587077449725,40.944587077449725,-0.02076941809873252,0.01815142422074103,0.0054105206811824215,-41.0,3.79,102.9,2,0,100.0,4,0.075,13.405000000000001,0.005,52.648261,9.745520299999999,34.53,33.62,52.648251099999996,9.7455198,0.02181661564992912,-0.023212879051524585,4.248305932279397,-6.055,-12.16,-0.03,13.4015045,0.081660606,0.30443308
0 days 00:00:05.920000,0.0028302636518826967,-4.728420000000001,0.506196,9.715824000000001,40.60360504920839,40.60360504920839,40.60360504920839,40.60360504920839,-0.033510321638291124,0.05619960191421742,0.004537856055185257,-43.0,3.79,107.7,2,0,100.0,4,0.075,13.36,0.005,52.648261,9.745520299999999,34.53,33.62,52.64825,9.7455189,0.021467549799530253,-0.023736477827122883,4.248305932279397,-6.055,-12.16,-0.03,13.356355,0.081682034,0.3104091
0 days 00:00:05.930000,0.0027123359997209178,-6.372576000000001,0.08240400000000002,10.47708,40.40971330765939,40.40971330765939,40.40971330765939,40.40971330765939,-0.03892084231947355,0.02722713633111154,0.0022689280275926286,-45.0,5.29,112.5,2,0,100.0,4,0.075,13.295,-0.0,52.6482556,9.7455158,34.53,33.62,52.6482489,9.745517999999999,0.02111848394913139,-0.02408554367752175,4.248305932279397,-6.0,-11.975,-0.02,13.291144,0.081744626,0.31853122
0 days 00:00:05.940000,0.002594408347559139,-5.556384,0.047088000000000005,10.394676000000002,40.73732349165597,40.73732349165597,40.73732349165597,40.73732349165597,-0.04625122517784973,-0.008028514559173916,0.0013962634015954637,-49.0,5.29,116.25,2,0,100.0,4,0.075,13.245000000000001,-0.01,52.6482556,9.7455158,34.53,33.62,52.648247899999994,9.7455172,0.020594885173533087,-0.023911010752322315,4.248305932279397,-6.0,-11.975,-0.02,13.240974,0.081711315,0.32505453
0 days 00:00:05.950000,0.0023585530432355803,-3.3942600000000005,0.0,12.227184,41.01144629867351,41.01144629867351,41.01144629867351,41.01144629867351,-0.0609119908946021,0.00645771823237902,-0.0019198621771937623,-49.0,5.29,120.0,2,0,100.0,4,0.07,13.215,-0.035,52.6482556,9.7455158,34.53,33.62,52.648246799999995,9.7455163,0.020071286397934793,-0.023911010752322315,4.248305932279397,-6.0,-11.975,-0.02,13.210386,0.077029325,0.34946835
0 days 00:00:05.960000,0.0024764806953973596,-3.8533680000000006,1.3459320000000001,10.312272000000002,39.80798031664527,39.80798031664527,39.80798031664527,39.80798031664527,-0.0582939970166106,-0.06527531402458793,0.007679448708775049,-51.0,5.29,116.1,2,0,100.0,4,0.08,13.175,-0.04,52.6482556,9.7455158,34.53,33.62,52.6482457,9.7455154,0.01937315469713706,-0.023387411976724018,4.248480465204597,-6.0,-11.975,-0.02,13.170462,0.08672817,0.34647503
0 days 00:00:05.970000,0.0023585530432355803,-0.43556400000000006,0.32176800000000005,8.095212,37.68185708172871,37.68185708172871,37.68185708172871,37.68185708172871,-0.04363323129985824,-0.024783675378319478,0.013264502315156903,-53.0,5.29,112.19999999999999,2,0,100.0,4,0.08,13.175,-0.025,52.6482556,9.7455158,34.53,33.62,52.6482447,9.7455146,0.019024088846738195,-0.02303834612632515,4.248480465204597,-6.0,-11.975,-0.02,13.170928,0.086234495,0.32691544
0 days 00:00:05.980000,0.0018868424345884643,-0.623916,0.40417200000000003,7.938252,35.46213093709885,35.46213093709885,35.46213093709885,35.46213093709885,-0.05096361415823442,0.046774823953448036,0.006806784082777885,-54.0,5.29,103.35,2,0,100.0,4,0.0,13.200000000000001,-0.0,52.6482503,9.7455114,34.53,33.62,52.6482436,9.7455137,0.020245819323134222,-0.024260076602721184,4.2493531298305935,-5.915,-11.81,0.03,13.1961155,0.0064822994,0.32013595
0 days 00:00:05.990000,0.0015330594781031272,-4.0770360000000005,0.5611320000000001,8.358120000000001,33.50315575524176,33.50315575524176,33.50315575524176,33.50315575524176,-0.05567600313861911,0.017104226669544427,0.005585053606381855,-54.0,5.29,94.5,2,0,100.0,4,0.005,13.16,0.01,52.6482503,9.7455114,34.53,33.62,52.648242599999996,9.7455128,0.019722220547535925,-0.024434609527920616,4.2493531298305935,-5.915,-11.81,0.03,13.156316,0.011142702,0.31137124
0 days 00:00:06,0.001650987130264906,-3.574764,1.228212,10.543788000000001,32.66741548994437,32.66741548994437,32.66741548994437,32.66741548994437,-0.04415683007545654,0.033335788713091695,0.01117010721276371,-55.0,5.29,94.5,2,0,100.0,4,0.015,13.125,0.005,52.6482503,9.7455114,34.53,33.62,52.6482415,9.745512,0.019198621771937627,-0.024783675378319478,4.249527662755794,-5.915,-11.81,0.03,13.121094,0.021145293,0.31990698
0 days 00:00:06.010000,0.0017689147824266852,-4.1202000000000005,-0.133416,11.022516000000001,33.08862858365426,33.08862858365426,33.08862858365426,33.08862858365426,-0.016231562043547268,0.02391101075232232,0.013962634015954637,-43.0,5.29,94.5,2,0,100.0,4,0.01,13.09,-0.01,52.6482503,9.7455114,34.53,33.62,52.6482404,9.7455111,0.019198621771937627,-0.025132741228718343,4.249702195680993,-5.915,-11.81,0.03,13.085615,0.016505128,0.33869538
0 days 00:00:06.020000,0.001650987130264906,-4.363488,-0.7337880000000001,9.484308,34.04471544715447,34.04471544715447,34.04471544715447,34.04471544715447,0.007504915783575617,-0.0020943951023931952,0.012391837689159739,-43.0,5.29,102.75,2,0,100.0,4,-0.005,13.045,-0.005,52.6482503,9.7455114,34.53,33.62,52.648239399999994,9.7455102,0.019198621771937627,-0.02495820830351891,4.249876728606193,-5.915,-11.81,0.03,13.0408125,0.0013465307,0.33057955
0 days 00:00:06.030000,0.001650987130264906,-3.154896,-0.349236,9.656964,34.67987804878049,34.67987804878049,34.67987804878049,34.67987804878049,0.004537856055185257,0.041713369122664476,0.006108652381980153,-34.0,5.29,111.0,2,0,100.0,4,-0.005,13.015,-0.005,52.648244999999996,9.7455071,34.550000000000004,33.62,52.6482384,9.7455093,0.019198621771937627,-0.02530727415391778,4.249876728606193,-5.7700000000000005,-11.700000000000001,0.05,13.010706,0.0014193454,0.3343718
0 days 00:00:06.040000,0.0015920233041840167,-5.450436,0.011772000000000001,9.115452000000001,34.66650620453573,34.66650620453573,34.66650620453573,34.66650620453573,-0.016406094968746697,0.020071286397934793,-0.0012217304763960308,-34.0,5.29,115.2,2,0,100.0,4,-0.01,12.965,-0.0,52.648244999999996,9.7455071,34.550000000000004,33.62,52.6482373,9.7455085,0.019024088846738195,-0.025656340004316644,4.249876728606193,-5.7700000000000005,-11.700000000000001,0.05,12.960733,-0.0036711986,0.33272803
0 days 00:00:06.050000,0.0015330594781031272,-4.901076000000001,0.635688,7.855848000000001,34.6464484381686,34.6464484381686,34.6464484381686,34.6464484381686,-0.024434609527920613,-0.03647738136668148,-0.0022689280275926286,-31.0,5.29,119.4,2,0,100.0,4,0.0,12.915000000000001,0.02,52.648244999999996,9.7455071,34.550000000000004,33.62,52.6482363,9.7455076,0.018675022996339326,-0.02530727415391778,4.249876728606193,-5.7700000000000005,-11.700000000000001,0.05,12.911371,0.0057294434,0.30676144
0 days 00:00:06.060000,0.0017689147824266852,-0.8436600000000001,1.094796,9.547092000000001,35.86997218656397,35.86997218656397,35.86997218656397,35.86997218656397,-0.00942477796076938,0.011519173063162576,0.002967059728390361,-31.0,5.29,115.35,2,0,100.0,4,0.005,12.91,0.02,52.648244999999996,9.7455071,34.550000000000004,33.62,52.648235199999995,9.7455068,0.018675022996339326,-0.02530727415391778,4.249876728606193,-5.7700000000000005,-11.700000000000001,0.05,12.906372,0.01072621,0.30654156
0 days 00:00:06.070000,0.0020047700867502436,-2.1032640000000002,-0.4198680000000001,9.970884,37.996095421480526,37.996095421480526,37.996095421480526,37.996095421480526,0.008552113334772213,0.034208453339088854,0.003490658503988659,-28.0,5.29,111.29999999999998,2,0,100.0,4,0.0,12.89,0.02,52.648244999999996,9.7455071,34.550000000000004,33.62,52.6482342,9.7455059,0.018675022996339326,-0.025656340004316644,4.249876728606193,-5.7700000000000005,-11.700000000000001,0.05,12.886271,0.005801629,0.3106264
0 days 00:00:06.080000,0.0020047700867502436,-3.770964,-0.26290800000000003,8.989884,39.747807017543856,39.747807017543856,39.747807017543856,39.747807017543856,0.008377580409572781,0.016406094968746697,0.0015707963267948967,-28.0,5.29,112.04999999999998,2,1,100.0,4,0.0,12.855,0.025,52.6482399,9.745503,34.53,33.62,52.6482332,9.745505099999999,0.018675022996339326,-0.025830872929516076,4.249876728606193,-5.68,-11.585,-0.0,12.8513565,0.005733408,0.30697373
